Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814,, Great Barrier Reef Marine Park Authority,The value of conservation parks on the Great Barrier Reef - April Hall,Douglas,4814,Capricorn Bunkers  /  Palm Islands  /  Hinchinbrook Island,20/03/2017,Townsville (C),Townsville,Mundingburra,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814,, Townsville Hospital and Health Service,Clincial and economic evaluation of novel blood tests for stroke - Joseph Moxon,Douglas,4814,n/a,20/03/2017,Townsville (C),Townsville,Mundingburra,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Central Queensland University,Branyan,4670,," Commonwealth Scientific and Industrial Research Organisation (CSIRO) 
 Children's Health Queensland Hospital and Health Service - Master",CP Muscle-Movement Toolbox: Expand early detection of cerebral palsy - Lee Barber,South Brisbane,4101,n/a,20/03/2017,Bundaberg (R),Brisbane and Redlands,Bundaberg,110716
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,University of the Sunshine Coast,Sippy Downs,4556,, Sunshine Coast Hospital and Health Service,A proactive approach for reducing medication errors in Queensland hospitals - Natassia Goode,Birtinya,4575,n/a,28/01/2016,Sunshine Coast (R),Sunshine Coast,Buderim,120000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,University of Southern Queensland,Darling Heights (Toowoomba),4350,,,Process improvement of energy and value extraction from agro-industrial waste - Bernadette McCabe,Darling Heights,4350,n/a,28/01/2016,Toowoomba (R),Darling Downs,Toowoomba South,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Central Queensland University,Branyan,4670,," Australian Sweetpotato Growers Inc 
 Organic Crop Protectants Pty Ltd 
 Department of Agriculture and Fisheries",Novel approaches for root-knot nematodes control - Yujuan Li,Rubyanna,4670,Rockhampton,20/03/2017,Bundaberg (R),Wide Bay,Bundaberg,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Griffith University,Southport,4215,, Children's Health Queensland Hospital and Health Service - Master,The Personalised Digital Patient:  helping children with lower limb deformities - Christopher Carty,South Brisbane,4101,Gold Coast,20/03/2017,Gold Coast (C),Brisbane and Redlands,Bonney,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,CSIRO,Herston,4006,, Queensland Cerebral Palsy and Rehabilitation Research Centre,Innovative web-based clinical decision support tool for paediatric brain injury - Alex Pagnozzi,Herston,4006,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,CSIRO,Herston,4006,, Royal Brisbane and Women's Hospital Foundation - Master,"CONSULT: A connectivity-based surgical planning tool, incorporating advanced functional neuroimaging - Lee Reid",Herston,4006,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Metro South Hospital and Health Service,Woolloongabba,4102,, Translational Research Institute,"Treatment impacts on inflammation, subjective symptoms and microbiome in IBD/IBS - Marcus Gray",Woolloongabba,4102,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,280000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Kelvin Grove,4059,, Field Orthopaedics Pty Ltd,Antibiotic - Eluting Coatings for Antimicrobial Orthopaedic Implants - Phong Tran,Kelvin Grove,4059,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,296856
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Associated Grain Pty Ltd,Tropical Pulses for Queensland - Thi My Linh Hoang,Brisbane City,4000,Dalby,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Associated Grain Pty Ltd,Tropical Pulses for Queensland - Sudipta Das Bhowmik,Brisbane City,4000,Dalby,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Kelvin Grove,4059,," Q-Pharm Pty Ltd 
 Melanoma Patients Australia Limited 
 Queensland Health",Testing New Technology in Skin Cancer Prevention - Elke Hacker,Kelvin Grove,4059,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Sunshine Coast Hospital and Health Service,Birtinya,4575,," University of the Sunshine Coast 
 Prince of Wales Hospital 
 University of New South Wales 
 Metro North Health and Hospital Services - Master",Novel antimicrobial stewardship innovations to preserve antibiotics for the future - Jennifer Broom,Birtinya,4575,Brisbane  /  Sydney,20/03/2017,Sunshine Coast (R),Sunshine Coast,Kawana,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Princess Alexandra Hospital Research Foundation 
 Tesaro",An accurate companion diagnostic predicting patient response to PARP inhibitors - Joshua Burgess,Woolloongabba,4102,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Kelvin Grove,4059,," Darling Downs Hospital and Health Service 
 Australian Red Cross Blood Service",Improved transfusion in Indigenous Queenslanders - linking genomics to clinical diagnostics - Shivashankar Nagaraj,Kelvin Grove,4059,Toowoomba,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Woolloongabba,4102,," Department of Health - Pathology Queensland 
 Translational Research Institute",A personalised PSA test for prostate cancer diagnosis - Srilakshmi Srinivasan,Woolloongabba,4102,Brisbane,20/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,180000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Woolloongabba,4102,," Translational Research Institute 
 Griffith University - Griffith Institute For Drug Discovery",Targeting cancer metabolism with therapeutics derived from Queensland biota - Jennifer Gunter,Woolloongabba,4102,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,280000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,QIMR Berghofer Medical Research Institute,Herston,4006,, EcoBiotics Ltd,Development of novel neuroprotectants from Queensland rainforest plants - Jason Cullen,Herston,4006,Sydney  /  Yungabarra  /  Sippy Downs,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Brickworks Building Products Pty Ltd,Value-added building materials using Queensland’s natural mineral resources - Yunfei Xi,Rochedale,4123,Kingaroy  /  Ipswich,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Boeing Defence Australia Ltd,Safely Guiding Unmanned Aircraft through Queensland Skies - Timothy Molloy,Brisbane City,4000,n/a,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,118152
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Siemens Energy Pty Ltd,Engineered Design of Bulk Superconductors for Maximum Efficiency Motors/Generators - Mahboobeh Shahbazi,Brisbane City,4000,Arundel  /  Banyo,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,120000
Research Fellowships,AQ Research Fellowships 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000,, Associated Grain Pty Ltd,Tropical Pulses for Queensland - Brett Williams,Brisbane City,4000,Dalby,20/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,University of Southern Queensland,Darling Heights (Toowoomba),4350,,,Functional foods for healthy ageing of a growing elderly population - Sunil Panchal,Darling Heights,4350,n/a,28/01/2016,Toowoomba (R),Darling Downs,Toowoomba South,152308
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," Queensland Urban Utilities 
 Nilwaste Energy Limited 
 Southern Oil Refining Pty Ltd",Transforming Queensland's agricultural and petroleum waste products into advanced composites - Kameron Dunn,Banyo,4014,n/a,10/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,, Statcom Solutions Pty Ltd,Maximising renewable energy penetration through smart inverter deployment and control - Yateendra Mishra,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,228114
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,, Agridry Dryers Pty Ltd,Intelligent microwave assisted convective Dryer for agricultural products - Azharul Karim,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,, Princess Alexandra Hospital,Targeting genome stability in cancer - Emma Bolderson,Woolloongabba,4102,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Sullivan Nicolaides Pathology,Transforming Queensland health care via digital pathology - Arnold Wiliem,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Australian Petroleum International Exploration and Development (APIED) Ltd,Sustainable production of ethanol fuel from waste-gas - Muxina Konarova,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland - RBWH - Herston,Herston,4029,, Australian E-Health Research Centre,Using telemedicine for improving diabetes management in Queensland - Farhad Fatehi,Woolloongabba,4102,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,QIMR Berghofer Medical Research Institute,Herston,4006,, Sementis Ltd,Development of a vaccine for chikungunya virus - Natalie Prow,Herston,4006,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,280000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,QIMR Berghofer Medical Research Institute,Herston,4006,," Medtronic Australasia Pty Ltd 
 St Andrews War Memorial Hospital (Uniting Care Health)",Psychiatric symptoms after deep brain stimulation for Parkinson's disease - Philip Mosley,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,James Cook University,Douglas (Townsville),4814,, Griffith University - Partner,Identifying sources of fine sediments to protect the Great Barrier Reef (GBR) - Zoe Bainbridge,Dutton Park,4102,n/a,28/01/2016,Townsville (C),Brisbane and Redlands,Mundingburra,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," Holy Spirit Northside Private Hospital (St. Vincent's Group) 
 Stryker Australia Pty Ltd 
 The Prince Charles Hospital Foundation",Robotic leg-holding device making keyhole knee-surgery easier and safer - Anjali Jaiprakash,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,, See-out Pty Ltd T/A Trademark Vision,Deep learning for large scale logo identification and semantic search - Sabesan Sivapalan,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,, Zeolite Australia Pty Ltd,Water purification pipes for irrigation using poor quality water resources - Mariam Darestani,Brisbane City,4000,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,, Workplace Health and Safety Queensland,Novel approach to reduce productivity losses from injuries and illnesses - Jason Edwards,Kelvin Grove,4059,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,McConnel,151570
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Rio Tinto Aluminium Ltd,Unlocking Queensland's bauxite ore reserves through process technology innovation - Hong Peng,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Department of Transport and Main Roads,Easily deconstructed spinifex nanofibres for enhancement of high-performance construction materials - Pratheep Annamalai,Indooroopilly,4068,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, L3 Micreo Pty Ltd,Compact terahertz laser imaging system for early skin cancer detection - Yah Leng Lim,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Huon Aquaculture Group Pty Ltd,Engineering nanohybrid platforms for oral vaccination combined with animal feed - Li Li,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,"300,000.00"
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," Department of Agriculture and Fisheries 
 Primary Growth Pty Ltd T/A Jasper Farms 
 Millwood Holdings Pty Ltd T/A Delroy Orchards 
 Andersons Horticulture Pty Ltd",MICROpropagator - A plant propagation platform based on novel biomolecules - Alice Hayward,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Queensland Centre for Mental Health Research,Establishing therapeutic links between early dopamine function and schizophrenia - James Kesby,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Arborescent Pty Ltd,Development of a luminescence-based sensor for the detection of explosives - Paul Shaw,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Energy positive domestic wastewater treatment - Shihu Hu,Pinkenba,4008,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Synergen MET Pty Ltd,Upscaling and developing on-site cyanide plant for gold/base metal mines - Pradeep Shukla,Pinjarra Hills,4069,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," Dugalunji Aboriginal Corporation 
 Derby Rubber Products Pty Ltd",Advancement and commercialisation of spinifex nanocellulose enhanced rubber products - Nasim Amiralian,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Manildra Group,Commercial scale production of N-Sorptive superabsorbent biopolymers for sugarcane fertilizers - Paul Luckman,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,,,Pushing the boundaries of current numerical geotechnical modelling capabilities - Sergio-Andres Galindo-Torres,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,98823
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,,,Nano-pollen encapsulated lysozyme: a safe alternative to antibiotics for livestock - Meihua Yu,St Lucia,4067,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,54126
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, Department of Agriculture and Fisheries,Managing the detrimental effects of indospicine through rumen metabolism - Gabriele Netzel,Dutton Park,4102,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Research Fellowships,AQ Research Fellowships 2015-16 Round 1,The University of Queensland,St Lucia,4067,, EM Solutions,Reconfigurable mm-wave antenna systems for satellite communications - Yifan Wang,Tennyson,4105,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Maiwar,164508
Rockhampton Technology and Innovation Centre,,Central Queensland University,Norman Gardens,4701,,,Rockhampton Advanced Technology and Innovation Centre,Norman Gardens,4701,,12/12/2019,Rockhampton (R),Central Queensland,Keppel,2800000
STEM.I.AM Program,Round 1,Eva Hopewell,Brisbane City,4000,,Queensland University of Technology,Scholarship,Brisbane City,4000,,12/05/2017,Brisbane (C),Brisbane,McConnel,10000
STEM.I.AM Program,Round 1,Gladstone Regional Council,Gladstone,4680,,to be confirmed,Advance Queensland STEM.I.AM coding and robotics public library grant,Gladstone,4680,,27/04/2017,Gladstone (R),Central Queensland,Gladstone,23750
STEM.I.AM Program,Round 1,Logan City Council,Logan Central,4114,,"Jimboomba State School, Waterford West State School, Kingston State School, The Murri School (The Aboriginal and Islander Independent Community School – Acacia Ridge), Marsden State High School.",Advance Queensland STEM.I.AM coding and robotics public library grant,Logan Central,4114,Logan City,27/04/2017,Logan (C),Logan,Woodridge,24970
STEM.I.AM Program,Round 1,Cook Shire Council,Cooktown,4895,,"Cooktown State School , Cooktown State School - Robotics Club, Herman Rijken - STEM ambassador,  Queensland-Cooper Hewitt Fellow 2018, Laura State School",Advance Queensland STEM.I.AM coding and robotics public library grant,Cooktown,4895,,27/04/2017,Cook (S),Far North Queensland,Cook,9680
STEM.I.AM Program,Round 1,Douglas Shire Council,Mossman,4873,,to be confirmed,Advance Queensland STEM.I.AM coding and robotics public library grant,Mossman,4873,,27/04/2017,Douglas (S),Far North Queensland,Cook,12830
STEM.I.AM Program,Round 1,Aurukun Aboriginal Shire Council,Aurukun,4892,,to be confirmed,Advance Queensland STEM.I.AM coding and robotics public library grant,Aurukun,4892,,27/04/2017,Aurukun (S),Far North Queensland,Cook,25000
STEM.I.AM Program,Round 1,Tarliya Baxter,Branyan,4670,Central Queensland University,,Advance Queensland STEM.I.AM scholarship,Branyan,4670,,19/08/2016,Bundaberg (R),Wide Bay,Bundaberg,10000
STEM.I.AM Program,Round 1,Townsville City Council,Townsville City,4810,,to be confirmed,Advance Queensland STEM.I.AM coding and robotics public library grant,Townsville City,4810,,27/04/2017,Townsville (C),Townsville,Townsville,24999
STEM.I.AM Program,Round 1,Paroo Shire Council,Cunnamulla,4490,,"Cunnamulla State School, Sacred Heart Parish School Cunnamulla, Cunnamulla Aboriginal Corporation for Health, Churches of Christ Care Early Childhood Centre Cunnamulla, Churches of Christ Care Yapunyah Aged Care Service Cunnamulla",Advance Queensland STEM.I.AM coding and robotics public library grant,Cunnamulla,4490,,27/04/2017,Paroo (S),Outback Queensland,Warrego,14580
STEM.I.AM Program,Round 1,North Burnett Regional Council,Gayndah,4625,,to be confirmed,Advance Queensland STEM.I.AM coding and robotics public library grant,Gayndah,4625,,27/04/2017,North Burnett (R),Wide Bay,Callide,21790
Siemens Healthcare,Siemens Healthcare,Queensland University of Technology,Brisbane City,4000,, Translational Research Institute,Operation of the TRI Innovation and Translation Centre in collaboration with Siemens Healthcare (IAT Centre) headquartered at the Translational Research Centre Building,Woolloongabba,4102,n/a,24/02/2016,Brisbane (C),Brisbane and Redlands,McConnel,3198649
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Mediasphere Holdings Pty Ltd,Southport,4215,,,PowerHouse Connected Learning Community,Southport,4215,,14/03/2018,Gold Coast (C),Gold Coast,Southport,45200
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Ecotech Pty Ltd,Knoxfield,3180,,,"Real time, low cost underground personal dust monitor",Knoxfield,3180,,30/04/2018,NonQueensland,NonQueensland,NonQueensland,58000
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Fish-E Pty Ltd,Archerfield,4108,,,Automated Monitoring of Commercial Fishing Operations,Archerfield,4108,,23/03/2018,Brisbane (C),Brisbane and Redlands,Algester,228200
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,AnchorLab K/S,København V,1553,,,Modular and flexible remote electronic monitoring for a fully documented fishery,"Copenhagen, Denmark",,Queensland,12/04/2018,NonQueensland,NonQueensland,NonQueensland,218050
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,RingIR Pty Ltd,Denistone,2114,,,Development of a Real Time Individual Dust Monitor,Denistone,2114,,29/03/2018,NonQueensland,NonQueensland,NonQueensland,62500
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Assa Abloy Australia Pty Limited,Oakleigh,3166,,,Project Orchestra,,,,26/06/2018,NonQueensland,Brisbane and Redlands,NonQueensland,10000
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Kenelec Scientific Pty Ltd,Mitcham,3132,,,"Real-Time, Personal Monitoring of Dust at Queensland Underground Coal Mines",Mitcham,3132,,29/03/2018,NonQueensland,NonQueensland,NonQueensland,40000
Small Business Innovation Research,AQ Small Business Innovation Research 2018-19 Reef Round,Sydney Institute of Marine Science,Mosman,2088,,,Regional Marine Cloud Brightening for Coral Bleaching Mitigation,,,"Sydney Institute of Marine Science, the University of Sydney, and the University of Manchester (United Kingdom).",27/04/2018,NonQueensland,NonQueensland,NonQueensland,104167
Small Business Innovation Research,Reef Round,University of Technology Sydney,Ultimo,2007,,,Solving the bottleneck of reef rehabilitation through boosting coral abundance: Miniaturising and mechanising coral out-planting,,,Opal Reef; Port Douglas,27/04/2018,NonQueensland,Far North Queensland,NonQueensland,104166
Small Business Innovation Research,Reef Round,University of Melbourne,Parkville,3010,,,New tools to prevent mass coral bleaching through ultra-thin surface films that attenuate light,Townsville City,4810,Melbourne/Townsville,27/04/2018,NonQueensland,Townsville,NonQueensland,20833
Small Business Innovation Research,Reef Round,Southern Cross University,Lismore,2480,,,Scaling up coral restoration using innovative Symbiodinium co-culture and mass larval supply on reefs,,,"Vlassof Reef, Arlington Reef and Green Island Reef, Cairns",27/04/2018,NonQueensland,Far North Queensland,NonQueensland,104166
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 Round 2,Neo-Rehab Pty Ltd,St Lucia,4067,,,eHAB® platform for improved educational services to students with disability in remote locations.,St Lucia,4067,SE and Regional Queensland,8/05/2018,Brisbane (C),Brisbane and Redlands,Maiwar,191750
Small Business Innovation Research,AQ Small Business Innovation Research 2018-19 Reef Round,BMT WBM Pty Ltd,Brisbane,4000,,,Stabilising reefs for coral establishment after cyclone (or similar) disturbance,,,Southeast Queensland for feasibility phase,27/04/2018,Brisbane (C),Brisbane and Redlands,McConnel,20833
Small Business Innovation Research,AQ Small Business Innovation Research 2018-19 Reef Round,CSIRO,St Lucia,4067,,,RECRUIT – RECovery of Reefs Using Industrial Techniques for coral spawn slick harvesting and release,,,Southern Great Barrier Reef: Capricorn-Bunker group and adjacent inshore reef areas.,27/04/2018,Brisbane (C),Central Queensland,Maiwar,20835
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 ED Medicine,Klyp Australia Pty Ltd,Bowen Hills,4006,,,cFunder.  Using clinician behavioural change to crowdfund beneficial goals within the Emergency department.,Bowen Hills,4006,,1/08/2018,Brisbane (C),Brisbane and Redlands,McConnel,41250
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,GoZERO Energy Pty Ltd,Enoggera,4051,,,No Capital Cost – LED Sports Lighting,Enoggera,4051,,14/03/2016,Brisbane (C),Brisbane and Redlands,Ferny Grove,30000
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,Grey Innovation Pty Ltd,Richmond,3121,,,Capillary Zone Electrophoresis (CZE) technology for detecting dissolved inorganic nitrogen,Richmond,3121,,23/12/2016,NonQueensland,NonQueensland,NonQueensland,125000
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,AssetFuture Pty Ltd,Gladesville,2111,,,Project Luminosity,Eagle Farm,4009,,23/12/2016,NonQueensland,Brisbane and Redlands,NonQueensland,125000
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,E Switch Pty Ltd,Enoggera,4051,,,Bright Sports Shared Facilities Program,Enoggera,4051,,23/12/2016,Brisbane (C),Brisbane and Redlands,Ferny Grove,94550
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,AJJA Technologies Pty Ltd,Goonellabah,2480,,,Select Field Effect Transistors (ISFETs) for detecting dissolved inorganic nitrogen,Goonellabah,2480,,23/12/2016,NonQueensland,NonQueensland,NonQueensland,310000
Small Business Innovation Research,AQ Small Business Innovation Research 2017-18 ED Medicine,Aginic Business Intelligence Pty Ltd,Spring Hill,4000,,,Project Advantage: Supporting Clinicians to choose wisely,Spring Hill,4000,RBWH,19/09/2018,Brisbane (C),Brisbane and Redlands,McConnel,81500
Small Business Innovation Research,AQ Small Business Innovation Research 2016-17 Pilot,Zuuse Pty Ltd,Fortitude Valley,4006,,,Zuuse Sapphire,Fortitude Valley,4006,,23/12/2016,Brisbane (C),Brisbane and Redlands,McConnel,165000
SoftBank,,STSA,Fortitude Valley,4006,,QUT Bluebox - Queensland University of Technology,Specialised technical training program for the Pepper humanoid robot platform,Fortitude Valley,4006,,8/08/2017,Brisbane (C),Brisbane,McConnel,36180
SoftBank,,Queensland University of Technology,Brisbane City,4000,,,Humanoid Robotics R&D Program,Brisbane City,4000,,20/04/2017,Brisbane (C),Brisbane and Redlands,McConnel,1500000
SoftBank,Round 1,The Trustee For QUT Bluebox Trust,Kelvin Grove,4059,,,Robotics Challenge Seed Funding,Kelvin Grove,4068,,23/06/2017,Brisbane (C),Brisbane and Redlands,McConnel,500000
SoftBank,,QUT Bluebox,Kelvin Grove,4059,,"SoftBank/STSA
Queensland University of Technology",Robotics Challenge industry accelerator,Fortitude Valley,4006,,8/11/2016,Brisbane (C),Brisbane,McConnel,500000
SoftBank,,77 Partners Pty Ltd,Fortitude Valley,4006,,,Robotics Accelerator,Fortitude Valley,4006,,11/03/2020,Brisbane (C),Brisbane,McConnel,400000
Sports Science Challenge,Sport Science Challenge 2016-17 Round 1,Fusion Sport Pty Ltd,Sumner Park,4074,," Brisbane Grammar School 
 AFL Queensland 
 Queensland Academy of Sport 
 Netball Queensland",Smartabase Lite: Athlete Monitoring Suite,Sumner,4074,n/a,29/05/2017,Brisbane (C),Ipswich,Mount Ommaney,100000
Sports Science Challenge,Sports Science Challenge 2017-18 Round 2,Vald Performance Pty Ltd,Newstead,4006,," Griffith University - Gold Coast Campus - Master 
 Swimming Queensland",HumanTrak Athlete Movement Screen,Albion,4010,n/a,3/04/2018,Brisbane (C),Brisbane and Redlands,Clayfield,100000
Sports Science Challenge,Sports Science Challenge 2017-18 Round 2,The Health Collab,Spring Hill,4000,, Swimming Queensland,Queensland Swim Academy App,Spring Hill,4000,n/a,3/04/2018,Brisbane (C),Brisbane and Redlands,McConnel,40000
